original_article,cleaned_article,change_description,legal_violation_categories
《中华人民共和国公路法》第七十六条第(五)项、,《中华人民共和国公路法》第七十六条第(五)项,"截断后缀""、""",交通运输违规
《广东省交通运输行政处罚裁量标准(道路运政)》第26项一般情节,《广东省交通运输行政处罚裁量标准(道路运政)》第26项,"截断后缀""一般情节""",交通运输违规
《广东省交通运输行政处罚裁量标准(道路运政)》第64项一般情节,《广东省交通运输行政处罚裁量标准(道路运政)》第64项,"截断后缀""一般情节""",交通运输违规
《广东省交通运输行政处罚裁量标准(道路运政)》第64项情节,《广东省交通运输行政处罚裁量标准(道路运政)》第64项,"截断后缀""情节""",交通运输违规
《广东省交通运输行政处罚裁量标准(道路运政)》第64项较轻情节,《广东省交通运输行政处罚裁量标准(道路运政)》第64项,"截断后缀""较轻情节""",交通运输违规
《广东省交通运输行政处罚裁量标准(道路运政)》第64项较重情节,《广东省交通运输行政处罚裁量标准(道路运政)》第64项,"截断后缀""较重情节""",交通运输违规
《广东省交通运输行政处罚裁量标准(道路运政)》第90项较重情节,《广东省交通运输行政处罚裁量标准(道路运政)》第90项,"截断后缀""较重情节""",交通运输违规
《安徽省治理货物运输车辆超限超载条例》第三十条第(二)项的规定决定给予罚款,《安徽省治理货物运输车辆超限超载条例》第三十条第(二)项的规定,"截断后缀""决定给予罚款""",交通运输违规
"《道路货物运输及站场管理规定》第二十二第一款,",《道路货物运输及站场管理规定》第二十二第一款,"截断后缀"",""",交通运输违规
《安徽省治理货物运输车辆超限超载条例》第三十条第(二)项;,《安徽省治理货物运输车辆超限超载条例》第三十条第(二)项,"截断后缀"";""",交通运输违规
《道路货物运输及站场管理规定》第五十九条一款,《道路货物运输及站场管理规定》第五十九条,"截断后缀""一款""",交通运输违规
《道路货物运输及站场管理规定》第五十九条一款,《道路货物运输及站场管理规定》第五十九条,"截断后缀""一款""",交通运输违规
《道路货物运输及站场管理规定》第五十七条第（三）项决定给予罚款,《道路货物运输及站场管理规定》第五十七条第（三）项,"截断后缀""决定给予罚款""",交通运输违规
《道路货物运输及站场管理规定》第五十七条第(一)项处以罚款,《道路货物运输及站场管理规定》第五十七条第(一)项,"截断后缀""处以罚款""",交通运输违规
《超限运输车辆行驶公路管理规定》第四十三条第一款第（二）项所以进行对该车辆/公司进行罚款,《超限运输车辆行驶公路管理规定》第四十三条第一款第（二）项,"截断后缀""所以进行对该车辆/公司进行罚款""",交通运输违规
《超限运输车辆行驶公路管理规定》第四十三条第一款第（二）项所以对该车辆/公司进行罚款,《超限运输车辆行驶公路管理规定》第四十三条第一款第（二）项,"截断后缀""所以对该车辆/公司进行罚款""",交通运输违规
《超限运输车辆行驶公路管理规定》第四十三条第一款第（二）项处以罚款,《超限运输车辆行驶公路管理规定》第四十三条第一款第（二）项,"截断后缀""处以罚款""",交通运输违规
《超限运输车辆行驶公路管理规定》第四十三条第一款第（二）项以罚款,《超限运输车辆行驶公路管理规定》第四十三条第一款第（二）项,"截断后缀""以罚款""",交通运输违规
《超限运输车辆行驶公路管理规定》第四十三条第一款第二项处罚决定:罚款,《超限运输车辆行驶公路管理规定》第四十三条第一款第二项,"截断后缀""处罚决定:罚款""",交通运输违规
《福建省道路运输条例》第二十七条规定的条,《福建省道路运输条例》第二十七条,"截断后缀""规定的条""",交通运输违规
《超限运输车辆行驶公路管理规定》第四十三条第一款第(二)项所以进行对该车辆/公司进行罚款,《超限运输车辆行驶公路管理规定》第四十三条第一款第(二)项,"截断后缀""所以进行对该车辆/公司进行罚款""",交通运输违规
《超限运输车辆行驶公路管理规定》第四十三条第一款第(二)项所以对该车辆/公司进行罚款,《超限运输车辆行驶公路管理规定》第四十三条第一款第(二)项,"截断后缀""所以对该车辆/公司进行罚款""",交通运输违规
《中华人民共和国道路运输条例》第六十九条一项,《中华人民共和国道路运输条例》第六十九条,"截断后缀""一项""",交通运输违规
"《中华人民共和国道路运输条例》第六十九条第(五)项,处以罚款",《中华人民共和国道路运输条例》第六十九条第(五)项,"截断后缀"",处以罚款""",交通运输违规
《超限运输车辆行驶公路管理规定》第四十六条第一款和,《超限运输车辆行驶公路管理规定》第四十六条第一款,"截断后缀""和""",交通运输违规
《超限运输车辆行驶公路管理规定》第四十六条、,《超限运输车辆行驶公路管理规定》第四十六条,"截断后缀""、""",交通运输违规
《超限运输车辆行驶公路管理规定》第四十九条决定给予罚款,《超限运输车辆行驶公路管理规定》第四十九条,"截断后缀""决定给予罚款""",交通运输违规
《超限运输车辆行驶公路管理规定》第二十七条第一款的相关规定,《超限运输车辆行驶公路管理规定》第二十七条第一款,"截断后缀""的相关规定""",交通运输违规
"《超限运输车辆行驶公路管理规定》第二十七条第一款,",《超限运输车辆行驶公路管理规定》第二十七条第一款,"截断后缀"",""",交通运输违规
"《超限运输车辆行驶公路管理规定》第二十七条,根据",《超限运输车辆行驶公路管理规定》第二十七条,"截断后缀"",根据""",交通运输违规
"《超限运输车辆行驶公路管理规定》第二十七条,",《超限运输车辆行驶公路管理规定》第二十七条,"截断后缀"",""",交通运输违规
"《超限运输车辆行驶公路管理规定》第二十一条第二款,",《超限运输车辆行驶公路管理规定》第二十一条第二款,"截断后缀"",""",交通运输违规
"《超限运输车辆行驶公路管理规定》第三条第（二)项,",《超限运输车辆行驶公路管理规定》第三条第（二)项,"截断后缀"",""",交通运输违规
《超限运输车辆行驶公路管理规定》第十三条和,《超限运输车辆行驶公路管理规定》第十三条,"截断后缀""和""",交通运输违规
《超限运输车辆行驶公路管理规定》第五十条、,《超限运输车辆行驶公路管理规定》第五十条,"截断后缀""、""",交通运输违规
《道路旅客运输及客运站场管理规定》第一百条第一款第(一)项;,《道路旅客运输及客运站场管理规定》第一百条第一款第(一)项,"截断后缀"";""",交通运输违规
《道路危险货物运输管理规定》第六十四条第（一）项处以罚款,《道路危险货物运输管理规定》第六十四条第（一）项,"截断后缀""处以罚款""",交通运输违规
《道路危险货物运输管理规定》第六十六条第一项规定给予罚款,《道路危险货物运输管理规定》第六十六条第一项,"截断后缀""规定给予罚款""",交通运输违规
《***人民共和国道路运输条例》第六十九条第(一)项、,《***人民共和国道路运输条例》第六十九条第(一)项,"截断后缀""、""",交通运输违规
《道路危险货物运输管理规定》第三十六条、,《道路危险货物运输管理规定》第三十六条,"截断后缀""、""",交通运输违规
